brand,model,first_registration,kilometers,engine,transmission
Volkswagen,Passat Variant 4motion 2.0 TD...,2009,310000,diesel,ročni

Volkswagen,Bora 1.6,1999,87100,bencinski,ročni

Volkswagen,Bora 1.4 Comfortline,2001,280000,bencinski,ročni

Volkswagen,Passat CC 2.0 TDI-130KW-XENON...,2014,248000,diesel,ročni

Volkswagen,Passat 4motion 2.0 TDI BMT Hi...,2016,99000,diesel,avtomatski

Volkswagen,Golf Comfortline 1.2 TSI SLO,2010,212000,bencinski,ročni

Volkswagen,Golf 1.6 TDI-ALU-ZATEMNJEN-PR...,2012,155000,diesel,ročni

Volkswagen,Polo 1.9 SDI Comfortline,2002,202000,diesel,ročni

Volkswagen,Passat Variant 2.0 TDI ,2009,163000,diesel,ročni

Volkswagen,Polo 1.4 Comfortline,2010,112500,bencinski,ročni

Volkswagen,Golf Plus Comfortline 2.0 TDI,2007,258000,diesel,ročni

Volkswagen,Golf Comfortline 1.9 TDI,2005,286000,diesel,ročni

Volkswagen,Golf Comfortline 1.9 TDI,2008,180660,diesel,ročni

Volkswagen,Multivan 2.5 TDI -XENON-NAVI....,2008,300000,diesel,avtomatski

Volkswagen,Golf 2.0 TDI-2X PDC-NAVI-,2010,197232,diesel,ročni

Volkswagen,Golf Plus ,2007,275129,diesel,ročni

Volkswagen,Golf 4x4.xenon.lcd.pdc.panora...,2012,163000,diesel,ročni

Volkswagen,Passat Variant 2.0 TDI Highli...,2016,174461,diesel,avtomatski

Volkswagen,Passat Variant 2.0 TDI DSG Co...,2016,136888,diesel,avtomatski

Volkswagen,Passat Variant 2.0 TDI BMT Co...,2011,200367,diesel,avtomatski

Volkswagen,Passat Variant 2.0 TDI BMT-NA...,2016,136164,diesel,ročni

Volkswagen,Golf Variant EDITION 1.9 tdi,2004,335000,diesel,ročni

Volkswagen,Golf Sportsvan 2.0 TDI BMT Hi...,2016,115000,diesel,avtomatski

Volkswagen,Passat Variant 1.9 TDI Highli...,2003,267000,diesel,ročni

Volkswagen,Polo Limuzina 1.4,2001,117000,bencinski,ročni

Volkswagen,Polo 1.0,2001,44000,bencinski,ročni

Volkswagen,Passat 2.0 TDI BMT Comfortlin...,2011,325000,diesel,avtomatski

Volkswagen,Golf Comfortline 2.0 SDI,2004,300000,diesel,ročni

Volkswagen,Passat Variant 1.9 TDI KREDIT...,2008,334339,diesel,ročni

Volkswagen,Golf Variant 1.6 TDI BMT Comf...,2016,117233,diesel,ročni

Volkswagen,Touran 1.9 TDI  1 LASTNIK  ZE...,2009,245000,diesel,ročni

Volkswagen,Touran 2.0 TDI Trendline,2004,370000,diesel,ročni

Volkswagen,Passat Variant 2.0 TDI Comfor...,2006,306000,diesel,ročni

Volkswagen,Passat 2.0 TDI Highline DSG N...,2015,191300,diesel,avtomatski

Volkswagen,Sharan 2.0 TDI Highline  7 SE...,2008,255000,diesel,ročni

Volkswagen,Golf Sportsvan 1.6 TDI+ACC+NA...,2015,130300,diesel,ročni

Volkswagen,Golf Comfortline 1.9 TDI,2007,178000,diesel,ročni

Volkswagen,Polo 1.6 TDI Highline Bluemot...,2010,168129,diesel,ročni

Volkswagen,Touran 2.0 TDI BlueMotion Tec...,2013,179000,diesel,ročni

Volkswagen,Golf R 4-Motion DSG APR 347KM...,2016,62800,bencinski,avtomatski

Volkswagen,Golf 2.0 TDI BMT R-Line Editi...,2017,34800,diesel,avtomatski

Volkswagen,Polo limozina,2000,215000,bencinski,ročni

Volkswagen,Golf Variant Comfortline 1.9 ...,2008,275000,diesel,ročni

Volkswagen,Passat Variant 2.0 TDI DPF Co...,2010,191000,diesel,ročni

Volkswagen,Transporter syncro,1996,270000,diesel,ročni

Volkswagen,Golf Highline 1.9 TDI,2003,21000,diesel,ročni

Volkswagen,Passat Variant 1.9 TDI Highli...,2005,331400,diesel,ročni

Volkswagen,Golf Variant 1.6 TDI BMT LOUN...,2016,157000,diesel,ročni

Volkswagen,Tiguan 2.0 TDI BMT Comfortlin...,2016,137700,diesel,ročni

Volkswagen,Golf Ultima 1.9 TDI,2009,253213,diesel,ročni

Volkswagen,Passat Variant 4motion 2.0 TD...,2007,406300,diesel,ročni

Volkswagen,Golf 4motion Sportline 1.9 TD...,2005,266000,diesel,ročni

Volkswagen,Caravelle 2.5 TDI DMR Comfort...,2007,305000,diesel,ročni

Volkswagen,Golf Rabbit III D,1997,318000,diesel,ročni

Volkswagen,Passat 2.0 TDI-2X PDC-SLOVENS...,2011,239000,diesel,ročni

Volkswagen,Golf 1.9 TDI 1.LASTNIK-SLO.PO...,2004,229100,diesel,ročni

Volkswagen,Beetle 1.9 TDI,2000,250000,diesel,ročni

Volkswagen,Touran 2.0 TDI ,2017,150000,diesel,ročni

